Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Random,0,144115188075855872,12,420,432,144115188075855440,0.4993
Random,1,144115188075855872,56,2108,2164,144115188075853708,2.479
Random,2,144115188075855872,140,4816,4956,144115188075850916,4.7496
Random,3,144115188075855872,0,1,1,144115188075855870,0
Random,4,144115188075855872,72,3657,3729,144115188075852143,4.2037
Random,5,144115188075855872,182,8626,8808,144115188075847064,8.6501
Random,6,144115188075855872,0,1,1,144115188075855870,0
Random,7,144115188075855872,3,155,158,144115188075855714,0.388
Random,8,144115188075855872,30,2020,2050,144115188075853822,3.69
Random,9,144115188075855872,0,1,1,144115188075855870,0
Random,10,144115188075855872,4,454,458,144115188075855414,0.9216
Random,11,144115188075855872,76,5048,5124,144115188075850748,5.9712
Random,12,144115188075855872,5,1283,1288,144115188075854584,1.4791
Random,13,144115188075855872,0,1,1,144115188075855870,0
Random,14,144115188075855872,0,1,1,144115188075855870,0
Random,15,144115188075855872,134,5880,6014,144115188075849858,5.9258
Random,16,144115188075855872,0,1,1,144115188075855870,0
Random,17,144115188075855872,0,1,1,144115188075855870,0
Random,18,144115188075855872,0,1,1,144115188075855870,0
Random,19,144115188075855872,16,1461,1477,144115188075854395,1.334
Random,20,144115188075855872,106,5012,5118,144115188075850754,5.2698
Random,21,144115188075855872,23,2284,2307,144115188075853565,3.0763
Random,22,144115188075855872,0,1,1,144115188075855870,0
Random,23,144115188075855872,67,4679,4746,144115188075851126,5.592
Random,24,144115188075855872,2,485,487,144115188075855385,1.1434
Random,25,144115188075855872,0,1,1,144115188075855870,0
Random,26,144115188075855872,0,244,244,144115188075855628,0.3723
Random,27,144115188075855872,4,465,469,144115188075855403,0.6172
Random,28,144115188075855872,106,2614,2720,144115188075853152,2.9212
Random,29,144115188075855872,0,1,1,144115188075855870,0
Random,30,144115188075855872,4,277,281,144115188075855591,0.5517
